review,sentiment
sure point making film looked made historical society shown local pistol pete museum first appears could beginning mad tv snl sketch joke punchline realize someone taking seriously story bad inclusion sas member seemed ploy worked get see film swear trailer listed every character film dead cowboy reason western fun atmosphere character brings feeling watching civil war rean actor dressed cowboy even worth digital video recorded,0
yep lot shouting screaming cheering arguing celebrating fist clinching high fiving fighting general idea never certain naval knowledge would advantage finer point probably spot many flaw awful film hackman washington usual brilliant plot one could peg pretty early still waiting see submarine film people get argue probably film br br,0
exquisite film search bliss everyday life pacing camera work emotion haunting musical score pure charm picture make must see easily appreciated immature emotionally stunted flaw see film captured technically perfect film format deserved todd ao technicolor finest sound format available intimate film made seventy millimeter gorgeous italian villa effect inhabitant would rendered even lushly small lovely moment would even beautifully seen heard still demand attention sweet moving small film stop watching every time come satelite transformation character contained tight mistrustful always joy watch really recommend often br br casting perfect mood perfect acting reproach film middle age choice people make deep thoughtful without beating viewer heavy handedness watch one sitting let effect get perhaps lived enough something else wrong,1
sarafina fun movie song really great sarafina entertaining normally like music thing like singing lame like looked like box movie useful learning history interesting perspective soweto rioting showed thing perspective student rioting showed real character got see real character make like audience make sympathetic totally victim white government sympathise singing student correct know account student riot singing dancing became violent clothing student sarafina similar clothing shown photo soweto made movie actually soweto look accurate many part thing make film accurate someone using learn aparthied viewer must critical way history apartheid presented said become sympathetic student make potentially less reliable objective also change detail account sarafina turn chaos policeman come classroom shoot student police army aggressive soweto probably exaggerated event police army shoot student evidence going school executing people like fighting street looting crime done movie probably make feel sorry school student movie would useful different information aparthied teacher arrested government mum go work white person house information government detail racist policy law george chris finlay,1
james franco totally cool movie handsome charismatic genuinely open vulnerable sincere kind way tristan screening folk back pouty sullen whole james dean thing think true blind spot proof positive tremendous talent film carry different sort weight entirely unique performance bittersweet really moving line journal cut like knife sense sharp intelligence observation behind word tone everything carry action suspense well grim bit gallows humor like two actor great deal blonde girl totally gorgeous man hysterical twisted tough guy stoicism thug seemed little sketchy mini point really film totally solid franco way cool around,1
film tapestry series portrait rom community woven together music much musician film paucity spoken dialogue dialogue important structure narrative might expect national geographic tale custom dress music plot line orbiting central character look br br paint portrait family people rather telling story individual plot story space india andalucia time cannot tell people need narration get sense joyous people strongly linked small community social interaction important great sense sadness part rejection society large br br paean rom culture beautifully shot wide spectrum rom music sting tail oppression people faced still face,1
saw picture would like secure dvd film greatest adventure time like epic still entertainment marvel b w get sense real bonded friendship chemistry actor performance sam jaffe eduardo cianelli outstanding could done today particularly liked ending colonel recites end kipling poem body gunga din tell untouchable better man gunga din make movie character today cast member still alive today joan fontaine,1
read biography lincoln maybe accurate portrayal br br maybe used equally alienating unrealistic worshiping portrayal unnaturally deify lincoln brilliant honorable savior country br br would make movie representing lincoln buffoon henry fonda made excellent lincoln portrayal aw shuck simple guy seemed little insulting br br granted bushie jr whole campaign make u think regular guy care rich privileged moron whole story br br film show lincoln sort simple almost simple minded kind guy film state lincoln sort got law accident even interested law falsely simplistic idea law right wrong film good defense attorney lounge around foot table make fun witness outcome mostly determined chance luck br br furthermore partly financed republican reaction play sponsored democrat come partly sentiment time film unfortunately religious racist conservative br br waste time film,0
agree movie little slow spot many scene mundane everyday life dialog impressed right watched however day realized movie stay evokes melancholy mood lingers mind appreciation movie increase certainly merit higher consideration movie instantly forgettable br br many commented movie non linear hallmark european film making opposed linear narrative form hollywood favor really know whether true many also dislike confusing structure lack clear explanation viewer think much say change opinion however others yet see film expect challenged expect film supply answer might come away enjoying would otherwise br br movie skip around bit really chronicle time period pay attention hair style easily separate period also confusing suggested enjoy clear end br br yes lot thing left unsaid shown lot situation left unexplored life like lot time sure motif friend loved one unless confront even never sure told whole truth type movie force u interpret reason behind action movie however leave enough hint make reasonable assumption example mathieu manic depressive point suicidal know maybe life turning exactly expects maybe miss family forgiven father abandoning sick mother hour need maybe sacrifice cedric rearranging indeed shattering life realizes coming undone think director meant show u always little mentality fragile scene w dead bird maybe sensitive psyche stress taking toll also shown animal torturing psycho loving interaction w stray cat also one conversation doctor cedric shed light reason behind breakup maybe suicide attempt doctor asks everything okay cedric think even though cheated mathieu nothing according cedric reason know probably others mixed together paramount know exactly think movie another telltale sign ultimately compatible historical ruin scene mathieu interested studying ruin cedric one w raging hormone focus physical side without intellectual side mathieu obviously need br br finally ending really rather hopeful sweet pleasantly surprised turn event bleak tone edge toward end br br two complaint dvd one sound soft crank volume hear dialog switched bar outdoor crowd scene became loud subtitle turn stay screen foreign movie dvd released major studio shoddy way unfortunately,1
supposed simple generic mystery plot involving dead philanthropist fact head ache inducing tale bunch character big actor ginger rogers early role trying find murderer among small cast resident posh apartment building character range utterly stupid downright mean cheap low budget production action revolves around rogers lead man guy care cause really sucked talking various possibility solving crime constantly cut absurd detective head butt honestly never worse time watching old b rate movie type seen real head slapper br br oh butler butler pay attention guy closest butler ya go br br polarisdib,0
